name,category,brand,model,serial_number,location_code,installation_date,last_verification,verification_frequency_code,verification_frequency_days,verification_frequency_months
Sensore fumo CR2 001,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR2-001,CR2,2022-02-02,2025-04-08,SEM,180,6
Estintore polvere CR3 002,Antincendio,Emme Antincendio,P6-ABC,EST-CR3-002,CR3,2023-03-03,2025-07-15,SEM,180,6
UTA settore CR4 003,Meccanico,Daikin,AHU-12,UTA-CR4-003,CR4,2024-04-04,2025-10-22,ANN,365,12
Quadro elettrico CR5 004,Elettrico,Schneider,Acti9,QEL-CR5-004,CR5,2021-05-05,2025-01-02,ANN,365,12
Telecamera IP GD1 005,TVCC,Hikvision,DS-2CD,CAM-GD1-005,GD1,2022-06-06,2025-04-09,ANN,365,12
Pulsante allarme IF1 006,Rivelazione incendi,Siemens,FC722,DET-IF1-006,IF1,2023-07-07,2025-07-16,SEM,180,6
Idrante UNI45 IF2 007,Antincendio,Bocciolone,UNI45,IDR-IF2-007,IF2,2024-08-08,2025-10-23,SEM,180,6
Pompa circuito PL1 008,Meccanico,Grundfos,MAGNA3,POM-PL1-008,PL1,2021-09-09,2025-01-03,ANN,365,12
Lampada emergenza SC1 009,Elettrico,Gewiss,Smart4,LGT-SC1-009,SC1,2022-10-10,2025-04-10,ANN,365,12
Registratore NVR SLV1 010,TVCC,Dahua,NVR5216,NVR-SLV1-010,SLV1,2023-11-11,2025-07-17,ANN,365,12
Centrale rilevazione SP1 011,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP1-011,SP1,2024-12-12,2025-10-24,SEM,180,6
Naspo antincendio SP2 012,Antincendio,Tema Safety,NA-25,NAS-SP2-012,SP2,2021-01-13,2025-01-04,SEM,180,6
Serranda aria SP3 013,Meccanico,Swegon,WISE,VAV-SP3-013,SP3,2022-02-14,2025-04-11,ANN,365,12
UPS rack SP4 014,Elettrico,APC,SRT,UPS-SP4-014,SP4,2023-03-15,2025-07-18,ANN,365,12
Monitor sicurezza SP5 015,TVCC,Axis,M3115,MON-SP5-015,SP5,2024-04-16,2025-10-25,ANN,365,12
Sensore fumo SP6 016,Rivelazione incendi,Notifier,NFXI-OPT,RIL-SP6-016,SP6,2021-05-17,2025-01-05,SEM,180,6
Estintore polvere UF1 017,Antincendio,Emme Antincendio,P6-ABC,EST-UF1-017,UF1,2022-06-18,2025-04-12,SEM,180,6
UTA settore UF2 018,Meccanico,Daikin,AHU-12,UTA-UF2-018,UF2,2023-07-19,2025-07-19,ANN,365,12
Quadro elettrico UF3 019,Elettrico,Schneider,Acti9,QEL-UF3-019,UF3,2024-08-20,2025-10-26,ANN,365,12
Telecamera IP UF4 020,TVCC,Hikvision,DS-2CD,CAM-UF4-020,UF4,2021-09-21,2025-01-06,ANN,365,12
Pulsante allarme UF5 021,Rivelazione incendi,Siemens,FC722,DET-UF5-021,UF5,2022-10-22,2025-04-13,SEM,180,6
Idrante UNI45 UF6 022,Antincendio,Bocciolone,UNI45,IDR-UF6-022,UF6,2023-11-23,2025-07-20,SEM,180,6
Pompa circuito WC1 023,Meccanico,Grundfos,MAGNA3,POM-WC1-023,WC1,2024-12-24,2025-10-27,ANN,365,12
Lampada emergenza WC2 024,Elettrico,Gewiss,Smart4,LGT-WC2-024,WC2,2021-01-25,2025-01-07,ANN,365,12
Registratore NVR WC3 025,TVCC,Dahua,NVR5216,NVR-WC3-025,WC3,2022-02-26,2025-04-14,ANN,365,12
Centrale rilevazione WC4 026,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC4-026,WC4,2023-03-27,2025-07-21,SEM,180,6
Naspo antincendio WC5 027,Antincendio,Tema Safety,NA-25,NAS-WC5-027,WC5,2024-04-01,2025-10-01,SEM,180,6
Serranda aria WC6 028,Meccanico,Swegon,WISE,VAV-WC6-028,WC6,2021-05-02,2025-01-08,ANN,365,12
UPS rack WC7 029,Elettrico,APC,SRT,UPS-WC7-029,WC7,2022-06-03,2025-04-15,ANN,365,12
Monitor sicurezza CR2 030,TVCC,Axis,M3115,MON-CR2-030,CR2,2023-07-04,2025-07-22,ANN,365,12
Sensore fumo CR3 031,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR3-031,CR3,2024-08-05,2025-10-02,SEM,180,6
Estintore polvere CR4 032,Antincendio,Emme Antincendio,P6-ABC,EST-CR4-032,CR4,2021-09-06,2025-01-09,SEM,180,6
UTA settore CR5 033,Meccanico,Daikin,AHU-12,UTA-CR5-033,CR5,2022-10-07,2025-04-16,ANN,365,12
Quadro elettrico GD1 034,Elettrico,Schneider,Acti9,QEL-GD1-034,GD1,2023-11-08,2025-07-23,ANN,365,12
Telecamera IP IF1 035,TVCC,Hikvision,DS-2CD,CAM-IF1-035,IF1,2024-12-09,2025-10-03,ANN,365,12
Pulsante allarme IF2 036,Rivelazione incendi,Siemens,FC722,DET-IF2-036,IF2,2021-01-10,2025-01-10,SEM,180,6
Idrante UNI45 PL1 037,Antincendio,Bocciolone,UNI45,IDR-PL1-037,PL1,2022-02-11,2025-04-17,SEM,180,6
Pompa circuito SC1 038,Meccanico,Grundfos,MAGNA3,POM-SC1-038,SC1,2023-03-12,2025-07-24,ANN,365,12
Lampada emergenza SLV1 039,Elettrico,Gewiss,Smart4,LGT-SLV1-039,SLV1,2024-04-13,2025-10-04,ANN,365,12
Registratore NVR SP1 040,TVCC,Dahua,NVR5216,NVR-SP1-040,SP1,2021-05-14,2025-01-11,ANN,365,12
Centrale rilevazione SP2 041,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP2-041,SP2,2022-06-15,2025-04-18,SEM,180,6
Naspo antincendio SP3 042,Antincendio,Tema Safety,NA-25,NAS-SP3-042,SP3,2023-07-16,2025-07-25,SEM,180,6
Serranda aria SP4 043,Meccanico,Swegon,WISE,VAV-SP4-043,SP4,2024-08-17,2025-10-05,ANN,365,12
UPS rack SP5 044,Elettrico,APC,SRT,UPS-SP5-044,SP5,2021-09-18,2025-01-12,ANN,365,12
Monitor sicurezza SP6 045,TVCC,Axis,M3115,MON-SP6-045,SP6,2022-10-19,2025-04-19,ANN,365,12
Sensore fumo UF1 046,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF1-046,UF1,2023-11-20,2025-07-26,SEM,180,6
Estintore polvere UF2 047,Antincendio,Emme Antincendio,P6-ABC,EST-UF2-047,UF2,2024-12-21,2025-10-06,SEM,180,6
UTA settore UF3 048,Meccanico,Daikin,AHU-12,UTA-UF3-048,UF3,2021-01-22,2025-01-13,ANN,365,12
Quadro elettrico UF4 049,Elettrico,Schneider,Acti9,QEL-UF4-049,UF4,2022-02-23,2025-04-20,ANN,365,12
Telecamera IP UF5 050,TVCC,Hikvision,DS-2CD,CAM-UF5-050,UF5,2023-03-24,2025-07-27,ANN,365,12
Pulsante allarme UF6 051,Rivelazione incendi,Siemens,FC722,DET-UF6-051,UF6,2024-04-25,2025-10-07,SEM,180,6
Idrante UNI45 WC1 052,Antincendio,Bocciolone,UNI45,IDR-WC1-052,WC1,2021-05-26,2025-01-14,SEM,180,6
Pompa circuito WC2 053,Meccanico,Grundfos,MAGNA3,POM-WC2-053,WC2,2022-06-27,2025-04-21,ANN,365,12
Lampada emergenza WC3 054,Elettrico,Gewiss,Smart4,LGT-WC3-054,WC3,2023-07-01,2025-07-01,ANN,365,12
Registratore NVR WC4 055,TVCC,Dahua,NVR5216,NVR-WC4-055,WC4,2024-08-02,2025-10-08,ANN,365,12
Centrale rilevazione WC5 056,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC5-056,WC5,2021-09-03,2025-01-15,SEM,180,6
Naspo antincendio WC6 057,Antincendio,Tema Safety,NA-25,NAS-WC6-057,WC6,2022-10-04,2025-04-22,SEM,180,6
Serranda aria WC7 058,Meccanico,Swegon,WISE,VAV-WC7-058,WC7,2023-11-05,2025-07-02,ANN,365,12
UPS rack CR2 059,Elettrico,APC,SRT,UPS-CR2-059,CR2,2024-12-06,2025-10-09,ANN,365,12
Monitor sicurezza CR3 060,TVCC,Axis,M3115,MON-CR3-060,CR3,2021-01-07,2025-01-16,ANN,365,12
Sensore fumo CR4 061,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR4-061,CR4,2022-02-08,2025-04-23,SEM,180,6
Estintore polvere CR5 062,Antincendio,Emme Antincendio,P6-ABC,EST-CR5-062,CR5,2023-03-09,2025-07-03,SEM,180,6
UTA settore GD1 063,Meccanico,Daikin,AHU-12,UTA-GD1-063,GD1,2024-04-10,2025-10-10,ANN,365,12
Quadro elettrico IF1 064,Elettrico,Schneider,Acti9,QEL-IF1-064,IF1,2021-05-11,2025-01-17,ANN,365,12
Telecamera IP IF2 065,TVCC,Hikvision,DS-2CD,CAM-IF2-065,IF2,2022-06-12,2025-04-24,ANN,365,12
Pulsante allarme PL1 066,Rivelazione incendi,Siemens,FC722,DET-PL1-066,PL1,2023-07-13,2025-07-04,SEM,180,6
Idrante UNI45 SC1 067,Antincendio,Bocciolone,UNI45,IDR-SC1-067,SC1,2024-08-14,2025-10-11,SEM,180,6
Pompa circuito SLV1 068,Meccanico,Grundfos,MAGNA3,POM-SLV1-068,SLV1,2021-09-15,2025-01-18,ANN,365,12
Lampada emergenza SP1 069,Elettrico,Gewiss,Smart4,LGT-SP1-069,SP1,2022-10-16,2025-04-25,ANN,365,12
Registratore NVR SP2 070,TVCC,Dahua,NVR5216,NVR-SP2-070,SP2,2023-11-17,2025-07-05,ANN,365,12
Centrale rilevazione SP3 071,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP3-071,SP3,2024-12-18,2025-10-12,SEM,180,6
Naspo antincendio SP4 072,Antincendio,Tema Safety,NA-25,NAS-SP4-072,SP4,2021-01-19,2025-01-19,SEM,180,6
Serranda aria SP5 073,Meccanico,Swegon,WISE,VAV-SP5-073,SP5,2022-02-20,2025-04-26,ANN,365,12
UPS rack SP6 074,Elettrico,APC,SRT,UPS-SP6-074,SP6,2023-03-21,2025-07-06,ANN,365,12
Monitor sicurezza UF1 075,TVCC,Axis,M3115,MON-UF1-075,UF1,2024-04-22,2025-10-13,ANN,365,12
Sensore fumo UF2 076,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF2-076,UF2,2021-05-23,2025-01-20,SEM,180,6
Estintore polvere UF3 077,Antincendio,Emme Antincendio,P6-ABC,EST-UF3-077,UF3,2022-06-24,2025-04-27,SEM,180,6
UTA settore UF4 078,Meccanico,Daikin,AHU-12,UTA-UF4-078,UF4,2023-07-25,2025-07-07,ANN,365,12
Quadro elettrico UF5 079,Elettrico,Schneider,Acti9,QEL-UF5-079,UF5,2024-08-26,2025-10-14,ANN,365,12
Telecamera IP UF6 080,TVCC,Hikvision,DS-2CD,CAM-UF6-080,UF6,2021-09-27,2025-01-21,ANN,365,12
Pulsante allarme WC1 081,Rivelazione incendi,Siemens,FC722,DET-WC1-081,WC1,2022-10-01,2025-04-01,SEM,180,6
Idrante UNI45 WC2 082,Antincendio,Bocciolone,UNI45,IDR-WC2-082,WC2,2023-11-02,2025-07-08,SEM,180,6
Pompa circuito WC3 083,Meccanico,Grundfos,MAGNA3,POM-WC3-083,WC3,2024-12-03,2025-10-15,ANN,365,12
Lampada emergenza WC4 084,Elettrico,Gewiss,Smart4,LGT-WC4-084,WC4,2021-01-04,2025-01-22,ANN,365,12
Registratore NVR WC5 085,TVCC,Dahua,NVR5216,NVR-WC5-085,WC5,2022-02-05,2025-04-02,ANN,365,12
Centrale rilevazione WC6 086,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC6-086,WC6,2023-03-06,2025-07-09,SEM,180,6
Naspo antincendio WC7 087,Antincendio,Tema Safety,NA-25,NAS-WC7-087,WC7,2024-04-07,2025-10-16,SEM,180,6
Serranda aria CR2 088,Meccanico,Swegon,WISE,VAV-CR2-088,CR2,2021-05-08,2025-01-23,ANN,365,12
UPS rack CR3 089,Elettrico,APC,SRT,UPS-CR3-089,CR3,2022-06-09,2025-04-03,ANN,365,12
Monitor sicurezza CR4 090,TVCC,Axis,M3115,MON-CR4-090,CR4,2023-07-10,2025-07-10,ANN,365,12
Sensore fumo CR5 091,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR5-091,CR5,2024-08-11,2025-10-17,SEM,180,6
Estintore polvere GD1 092,Antincendio,Emme Antincendio,P6-ABC,EST-GD1-092,GD1,2021-09-12,2025-01-24,SEM,180,6
UTA settore IF1 093,Meccanico,Daikin,AHU-12,UTA-IF1-093,IF1,2022-10-13,2025-04-04,ANN,365,12
Quadro elettrico IF2 094,Elettrico,Schneider,Acti9,QEL-IF2-094,IF2,2023-11-14,2025-07-11,ANN,365,12
Telecamera IP PL1 095,TVCC,Hikvision,DS-2CD,CAM-PL1-095,PL1,2024-12-15,2025-10-18,ANN,365,12
Pulsante allarme SC1 096,Rivelazione incendi,Siemens,FC722,DET-SC1-096,SC1,2021-01-16,2025-01-25,SEM,180,6
Idrante UNI45 SLV1 097,Antincendio,Bocciolone,UNI45,IDR-SLV1-097,SLV1,2022-02-17,2025-04-05,SEM,180,6
Pompa circuito SP1 098,Meccanico,Grundfos,MAGNA3,POM-SP1-098,SP1,2023-03-18,2025-07-12,ANN,365,12
Lampada emergenza SP2 099,Elettrico,Gewiss,Smart4,LGT-SP2-099,SP2,2024-04-19,2025-10-19,ANN,365,12
Registratore NVR SP3 100,TVCC,Dahua,NVR5216,NVR-SP3-100,SP3,2021-05-20,2025-01-26,ANN,365,12
Centrale rilevazione SP4 101,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP4-101,SP4,2022-06-21,2025-04-06,SEM,180,6
Naspo antincendio SP5 102,Antincendio,Tema Safety,NA-25,NAS-SP5-102,SP5,2023-07-22,2025-07-13,SEM,180,6
Serranda aria SP6 103,Meccanico,Swegon,WISE,VAV-SP6-103,SP6,2024-08-23,2025-10-20,ANN,365,12
UPS rack UF1 104,Elettrico,APC,SRT,UPS-UF1-104,UF1,2021-09-24,2025-01-27,ANN,365,12
Monitor sicurezza UF2 105,TVCC,Axis,M3115,MON-UF2-105,UF2,2022-10-25,2025-04-07,ANN,365,12
Sensore fumo UF3 106,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF3-106,UF3,2023-11-26,2025-07-14,SEM,180,6
Estintore polvere UF4 107,Antincendio,Emme Antincendio,P6-ABC,EST-UF4-107,UF4,2024-12-27,2025-10-21,SEM,180,6
UTA settore UF5 108,Meccanico,Daikin,AHU-12,UTA-UF5-108,UF5,2021-01-01,2025-01-01,ANN,365,12
Quadro elettrico UF6 109,Elettrico,Schneider,Acti9,QEL-UF6-109,UF6,2022-02-02,2025-04-08,ANN,365,12
Telecamera IP WC1 110,TVCC,Hikvision,DS-2CD,CAM-WC1-110,WC1,2023-03-03,2025-07-15,ANN,365,12
Pulsante allarme WC2 111,Rivelazione incendi,Siemens,FC722,DET-WC2-111,WC2,2024-04-04,2025-10-22,SEM,180,6
Idrante UNI45 WC3 112,Antincendio,Bocciolone,UNI45,IDR-WC3-112,WC3,2021-05-05,2025-01-02,SEM,180,6
Pompa circuito WC4 113,Meccanico,Grundfos,MAGNA3,POM-WC4-113,WC4,2022-06-06,2025-04-09,ANN,365,12
Lampada emergenza WC5 114,Elettrico,Gewiss,Smart4,LGT-WC5-114,WC5,2023-07-07,2025-07-16,ANN,365,12
Registratore NVR WC6 115,TVCC,Dahua,NVR5216,NVR-WC6-115,WC6,2024-08-08,2025-10-23,ANN,365,12
Centrale rilevazione WC7 116,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC7-116,WC7,2021-09-09,2025-01-03,SEM,180,6
Naspo antincendio CR2 117,Antincendio,Tema Safety,NA-25,NAS-CR2-117,CR2,2022-10-10,2025-04-10,SEM,180,6
Serranda aria CR3 118,Meccanico,Swegon,WISE,VAV-CR3-118,CR3,2023-11-11,2025-07-17,ANN,365,12
UPS rack CR4 119,Elettrico,APC,SRT,UPS-CR4-119,CR4,2024-12-12,2025-10-24,ANN,365,12
Monitor sicurezza CR5 120,TVCC,Axis,M3115,MON-CR5-120,CR5,2021-01-13,2025-01-04,ANN,365,12
Sensore fumo GD1 121,Rivelazione incendi,Notifier,NFXI-OPT,RIL-GD1-121,GD1,2022-02-14,2025-04-11,SEM,180,6
Estintore polvere IF1 122,Antincendio,Emme Antincendio,P6-ABC,EST-IF1-122,IF1,2023-03-15,2025-07-18,SEM,180,6
UTA settore IF2 123,Meccanico,Daikin,AHU-12,UTA-IF2-123,IF2,2024-04-16,2025-10-25,ANN,365,12
Quadro elettrico PL1 124,Elettrico,Schneider,Acti9,QEL-PL1-124,PL1,2021-05-17,2025-01-05,ANN,365,12
Telecamera IP SC1 125,TVCC,Hikvision,DS-2CD,CAM-SC1-125,SC1,2022-06-18,2025-04-12,ANN,365,12
Pulsante allarme SLV1 126,Rivelazione incendi,Siemens,FC722,DET-SLV1-126,SLV1,2023-07-19,2025-07-19,SEM,180,6
Idrante UNI45 SP1 127,Antincendio,Bocciolone,UNI45,IDR-SP1-127,SP1,2024-08-20,2025-10-26,SEM,180,6
Pompa circuito SP2 128,Meccanico,Grundfos,MAGNA3,POM-SP2-128,SP2,2021-09-21,2025-01-06,ANN,365,12
Lampada emergenza SP3 129,Elettrico,Gewiss,Smart4,LGT-SP3-129,SP3,2022-10-22,2025-04-13,ANN,365,12
Registratore NVR SP4 130,TVCC,Dahua,NVR5216,NVR-SP4-130,SP4,2023-11-23,2025-07-20,ANN,365,12
Centrale rilevazione SP5 131,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP5-131,SP5,2024-12-24,2025-10-27,SEM,180,6
Naspo antincendio SP6 132,Antincendio,Tema Safety,NA-25,NAS-SP6-132,SP6,2021-01-25,2025-01-07,SEM,180,6
Serranda aria UF1 133,Meccanico,Swegon,WISE,VAV-UF1-133,UF1,2022-02-26,2025-04-14,ANN,365,12
UPS rack UF2 134,Elettrico,APC,SRT,UPS-UF2-134,UF2,2023-03-27,2025-07-21,ANN,365,12
Monitor sicurezza UF3 135,TVCC,Axis,M3115,MON-UF3-135,UF3,2024-04-01,2025-10-01,ANN,365,12
Sensore fumo UF4 136,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF4-136,UF4,2021-05-02,2025-01-08,SEM,180,6
Estintore polvere UF5 137,Antincendio,Emme Antincendio,P6-ABC,EST-UF5-137,UF5,2022-06-03,2025-04-15,SEM,180,6
UTA settore UF6 138,Meccanico,Daikin,AHU-12,UTA-UF6-138,UF6,2023-07-04,2025-07-22,ANN,365,12
Quadro elettrico WC1 139,Elettrico,Schneider,Acti9,QEL-WC1-139,WC1,2024-08-05,2025-10-02,ANN,365,12
Telecamera IP WC2 140,TVCC,Hikvision,DS-2CD,CAM-WC2-140,WC2,2021-09-06,2025-01-09,ANN,365,12
Pulsante allarme WC3 141,Rivelazione incendi,Siemens,FC722,DET-WC3-141,WC3,2022-10-07,2025-04-16,SEM,180,6
Idrante UNI45 WC4 142,Antincendio,Bocciolone,UNI45,IDR-WC4-142,WC4,2023-11-08,2025-07-23,SEM,180,6
Pompa circuito WC5 143,Meccanico,Grundfos,MAGNA3,POM-WC5-143,WC5,2024-12-09,2025-10-03,ANN,365,12
Lampada emergenza WC6 144,Elettrico,Gewiss,Smart4,LGT-WC6-144,WC6,2021-01-10,2025-01-10,ANN,365,12
Registratore NVR WC7 145,TVCC,Dahua,NVR5216,NVR-WC7-145,WC7,2022-02-11,2025-04-17,ANN,365,12
Centrale rilevazione CR2 146,Rivelazione incendi,Honeywell,IQ8Quad,CEN-CR2-146,CR2,2023-03-12,2025-07-24,SEM,180,6
Naspo antincendio CR3 147,Antincendio,Tema Safety,NA-25,NAS-CR3-147,CR3,2024-04-13,2025-10-04,SEM,180,6
Serranda aria CR4 148,Meccanico,Swegon,WISE,VAV-CR4-148,CR4,2021-05-14,2025-01-11,ANN,365,12
UPS rack CR5 149,Elettrico,APC,SRT,UPS-CR5-149,CR5,2022-06-15,2025-04-18,ANN,365,12
Monitor sicurezza GD1 150,TVCC,Axis,M3115,MON-GD1-150,GD1,2023-07-16,2025-07-25,ANN,365,12
Sensore fumo IF1 151,Rivelazione incendi,Notifier,NFXI-OPT,RIL-IF1-151,IF1,2024-08-17,2025-10-05,SEM,180,6
Estintore polvere IF2 152,Antincendio,Emme Antincendio,P6-ABC,EST-IF2-152,IF2,2021-09-18,2025-01-12,SEM,180,6
UTA settore PL1 153,Meccanico,Daikin,AHU-12,UTA-PL1-153,PL1,2022-10-19,2025-04-19,ANN,365,12
Quadro elettrico SC1 154,Elettrico,Schneider,Acti9,QEL-SC1-154,SC1,2023-11-20,2025-07-26,ANN,365,12
Telecamera IP SLV1 155,TVCC,Hikvision,DS-2CD,CAM-SLV1-155,SLV1,2024-12-21,2025-10-06,ANN,365,12
Pulsante allarme SP1 156,Rivelazione incendi,Siemens,FC722,DET-SP1-156,SP1,2021-01-22,2025-01-13,SEM,180,6
Idrante UNI45 SP2 157,Antincendio,Bocciolone,UNI45,IDR-SP2-157,SP2,2022-02-23,2025-04-20,SEM,180,6
Pompa circuito SP3 158,Meccanico,Grundfos,MAGNA3,POM-SP3-158,SP3,2023-03-24,2025-07-27,ANN,365,12
Lampada emergenza SP4 159,Elettrico,Gewiss,Smart4,LGT-SP4-159,SP4,2024-04-25,2025-10-07,ANN,365,12
Registratore NVR SP5 160,TVCC,Dahua,NVR5216,NVR-SP5-160,SP5,2021-05-26,2025-01-14,ANN,365,12
Centrale rilevazione SP6 161,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP6-161,SP6,2022-06-27,2025-04-21,SEM,180,6
Naspo antincendio UF1 162,Antincendio,Tema Safety,NA-25,NAS-UF1-162,UF1,2023-07-01,2025-07-01,SEM,180,6
Serranda aria UF2 163,Meccanico,Swegon,WISE,VAV-UF2-163,UF2,2024-08-02,2025-10-08,ANN,365,12
UPS rack UF3 164,Elettrico,APC,SRT,UPS-UF3-164,UF3,2021-09-03,2025-01-15,ANN,365,12
Monitor sicurezza UF4 165,TVCC,Axis,M3115,MON-UF4-165,UF4,2022-10-04,2025-04-22,ANN,365,12
Sensore fumo UF5 166,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF5-166,UF5,2023-11-05,2025-07-02,SEM,180,6
Estintore polvere UF6 167,Antincendio,Emme Antincendio,P6-ABC,EST-UF6-167,UF6,2024-12-06,2025-10-09,SEM,180,6
UTA settore WC1 168,Meccanico,Daikin,AHU-12,UTA-WC1-168,WC1,2021-01-07,2025-01-16,ANN,365,12
Quadro elettrico WC2 169,Elettrico,Schneider,Acti9,QEL-WC2-169,WC2,2022-02-08,2025-04-23,ANN,365,12
Telecamera IP WC3 170,TVCC,Hikvision,DS-2CD,CAM-WC3-170,WC3,2023-03-09,2025-07-03,ANN,365,12
Pulsante allarme WC4 171,Rivelazione incendi,Siemens,FC722,DET-WC4-171,WC4,2024-04-10,2025-10-10,SEM,180,6
Idrante UNI45 WC5 172,Antincendio,Bocciolone,UNI45,IDR-WC5-172,WC5,2021-05-11,2025-01-17,SEM,180,6
Pompa circuito WC6 173,Meccanico,Grundfos,MAGNA3,POM-WC6-173,WC6,2022-06-12,2025-04-24,ANN,365,12
Lampada emergenza WC7 174,Elettrico,Gewiss,Smart4,LGT-WC7-174,WC7,2023-07-13,2025-07-04,ANN,365,12
Registratore NVR CR2 175,TVCC,Dahua,NVR5216,NVR-CR2-175,CR2,2024-08-14,2025-10-11,ANN,365,12
Centrale rilevazione CR3 176,Rivelazione incendi,Honeywell,IQ8Quad,CEN-CR3-176,CR3,2021-09-15,2025-01-18,SEM,180,6
Naspo antincendio CR4 177,Antincendio,Tema Safety,NA-25,NAS-CR4-177,CR4,2022-10-16,2025-04-25,SEM,180,6
Serranda aria CR5 178,Meccanico,Swegon,WISE,VAV-CR5-178,CR5,2023-11-17,2025-07-05,ANN,365,12
UPS rack GD1 179,Elettrico,APC,SRT,UPS-GD1-179,GD1,2024-12-18,2025-10-12,ANN,365,12
Monitor sicurezza IF1 180,TVCC,Axis,M3115,MON-IF1-180,IF1,2021-01-19,2025-01-19,ANN,365,12
Sensore fumo IF2 181,Rivelazione incendi,Notifier,NFXI-OPT,RIL-IF2-181,IF2,2022-02-20,2025-04-26,SEM,180,6
Estintore polvere PL1 182,Antincendio,Emme Antincendio,P6-ABC,EST-PL1-182,PL1,2023-03-21,2025-07-06,SEM,180,6
UTA settore SC1 183,Meccanico,Daikin,AHU-12,UTA-SC1-183,SC1,2024-04-22,2025-10-13,ANN,365,12
Quadro elettrico SLV1 184,Elettrico,Schneider,Acti9,QEL-SLV1-184,SLV1,2021-05-23,2025-01-20,ANN,365,12
Telecamera IP SP1 185,TVCC,Hikvision,DS-2CD,CAM-SP1-185,SP1,2022-06-24,2025-04-27,ANN,365,12
Pulsante allarme SP2 186,Rivelazione incendi,Siemens,FC722,DET-SP2-186,SP2,2023-07-25,2025-07-07,SEM,180,6
Idrante UNI45 SP3 187,Antincendio,Bocciolone,UNI45,IDR-SP3-187,SP3,2024-08-26,2025-10-14,SEM,180,6
Pompa circuito SP4 188,Meccanico,Grundfos,MAGNA3,POM-SP4-188,SP4,2021-09-27,2025-01-21,ANN,365,12
Lampada emergenza SP5 189,Elettrico,Gewiss,Smart4,LGT-SP5-189,SP5,2022-10-01,2025-04-01,ANN,365,12
Registratore NVR SP6 190,TVCC,Dahua,NVR5216,NVR-SP6-190,SP6,2023-11-02,2025-07-08,ANN,365,12
Centrale rilevazione UF1 191,Rivelazione incendi,Honeywell,IQ8Quad,CEN-UF1-191,UF1,2024-12-03,2025-10-15,SEM,180,6
Naspo antincendio UF2 192,Antincendio,Tema Safety,NA-25,NAS-UF2-192,UF2,2021-01-04,2025-01-22,SEM,180,6
Serranda aria UF3 193,Meccanico,Swegon,WISE,VAV-UF3-193,UF3,2022-02-05,2025-04-02,ANN,365,12
UPS rack UF4 194,Elettrico,APC,SRT,UPS-UF4-194,UF4,2023-03-06,2025-07-09,ANN,365,12
Monitor sicurezza UF5 195,TVCC,Axis,M3115,MON-UF5-195,UF5,2024-04-07,2025-10-16,ANN,365,12
Sensore fumo UF6 196,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF6-196,UF6,2021-05-08,2025-01-23,SEM,180,6
Estintore polvere WC1 197,Antincendio,Emme Antincendio,P6-ABC,EST-WC1-197,WC1,2022-06-09,2025-04-03,SEM,180,6
UTA settore WC2 198,Meccanico,Daikin,AHU-12,UTA-WC2-198,WC2,2023-07-10,2025-07-10,ANN,365,12
Quadro elettrico WC3 199,Elettrico,Schneider,Acti9,QEL-WC3-199,WC3,2024-08-11,2025-10-17,ANN,365,12
Telecamera IP WC4 200,TVCC,Hikvision,DS-2CD,CAM-WC4-200,WC4,2021-09-12,2025-01-24,ANN,365,12
